bbl,address,percentage,savings,hvac_cost
1009990019,114 W 47th St,32.36376656686751,227074.35999999996,701631.4356699999
1001540023,14 Reade St,32.357607828453325,42095.64,130095.03120000003
1013750021,653 Madison Ave,32.35160180230355,95647.55999999998,295650.1523
1008010001,275 7 Ave,32.33799811137843,56299.000000000015,174095.50154000003
1012910038,430 Park Ave,32.32130235094463,137312.77,424836.74856000004
1000090014,17 State St,32.314983011667024,189595.45,586710.65967
1012730012,37 W 57th St,32.30577620360049,34458.08,106662.28783
1013080033,880 3 Ave,32.3028125455686,40561.3,125565.84645
1008620045,30 E 33rd St,32.295298425366965,29377.480000000003,90965.19131999998
1005970062,323 Hudson St,32.29374802153402,61428.65999999999,190218.42853000003
1012680001,51 W 52nd St,32.27563484183953,382612.20000000007,1185452.12782
1007890036,550 7 Ave,32.24456104885871,54115.71999999999,167828.98647
1005970012,78 Vandam St,32.22584152043979,82920.0,257309.02930000002
1000460001,2 Wall St,32.22093377819888,57568.87999999999,178669.18568
1012910001,711 5 Ave,32.21986222430555,219437.47000000003,681062.7198599998
1008150014,1412 Broadway,32.15132926759518,75343.52,234340.29546000002
1008560058,60 Madison Ave,32.127837627276655,42029.030000000006,130818.1101
1012750027,100 Park Ave,32.12193465836383,257888.74,802843.11248
1010150029,1493 Broadway,32.08495343238204,213823.42000000004,666428.9554
1008340049,4 W 33rd St,32.083965912333205,113977.21,355246.63725
1012900001,689 5 Ave,32.07458777511192,46981.78,146476.64478
1005540001,770 Broadway,32.05297467601538,308105.82999999996,961239.4266499999
1004960040,75 Spring St,32.012586581627254,10959.13,34233.816040000005
1008510041,304 Park Ave South,32.00332254729951,61022.09000000001,190674.23362
1008610075,315 5 Ave,31.975387998470197,23653.129999999997,73972.92568
1012610021,25 W 45th St,31.925774895269033,45783.55,143406.22944999998
1008260026,19 W 24th St,31.909889532143172,23678.65,74204.73824
1008210055,18 W 20th St,31.904413719749435,15706.729999999996,49230.58652
1007850041,470 7 Ave,31.889154237977113,26230.390000000003,82254.89395
1005650015,849 Broadway,31.85951835385285,54759.55000000001,171878.14766000002
1012870052,485 Madison Ave,31.852630248290208,53462.91000000001,167844.56913999998
1012950023,355 Lexington Ave,31.849024969829703,66673.03,209340.88268999997
